Year,Temperature,Precipitation (mm)
1901,25.9,2583.93
1902,25.89,2492.42
1903,25.55,2316.25
1904,24.93,2751.51
1905,25.3,2172.69
1906,25.58,2662.6
1907,25.25,2432.35
1908,25.25,3040.31
1909,25.47,2759.69
1910,25.26,3036.14
1911,25.2,2463.89
1912,25.57,2267.4
1913,25.35,2445.34
1914,25.57,2120.46
1915,26,2417.46
1916,25.36,3075.25
1917,25.11,2883.05
1918,24.99,2639.33
1919,25.6,2486.92
1920,25.54,2362.42
1921,25.32,2996.88
1922,25.57,2742.12
1923,25.23,2863.52
1924,25.54,2983.24
1925,25.33,2749.81
1926,25.52,2718.83
1927,25.65,2461.31
1928,25.75,2643.6
1929,25.33,2672.52
1930,25.78,2312.83
1931,26.13,2486.69
1932,25.58,2730.35
1933,25.79,2626.94
1934,25.42,3489.27
1935,25.71,2561.21
1936,25.77,2695.12
1937,25.92,2696.14
1938,25.77,2696.86
1939,25.69,2938.57
1940,25.73,2316.9
1941,25.85,2465.87
1942,25.77,2465.32
1943,25.63,2465.51
1944,25.7,2465.83
1945,25.64,2466.32
1946,25.93,2446.42
1947,26.18,2869.56
1948,25.91,2305.5
1949,25.55,2455.62
1950,25.57,2534.62
1951,25.73,2462.03
1952,25.79,2767.43
1953,25.77,2609.42
1954,25.69,2482.64
1955,25.46,2455.89
1956,25.42,3136.67
1957,25.76,2160.13
1958,25.74,2165.48
1959,25.71,2359.81
1960,25.76,2586.54
1961,25.6,2473.91
1962,25.5,2694.72
1963,25.35,2270.4
1964,25.65,2784.14
1965,25.47,2485.98
1966,25.92,2584.84
1967,25.38,2352.95
1968,25.55,2048.22
1969,25.86,2047.38
1970,25.95,2613.9
1971,25.31,3005.03
1972,25.59,2559.17
1973,25.9,2472.7
1974,25.68,2656.81
1975,25.62,2525.88
1976,25.46,2365.18
1977,25.83,2283.02
1978,25.82,2337.46
1979,25.95,2162.62
1980,26.01,2540.65
1981,25.64,2279.15
1982,25.76,2168.5
1983,26.15,2077.79
1984,25.9,2691.82
1985,26.01,2614.38
1986,25.91,2765.21
1987,26.42,1986.88
1988,26.37,2613.49
1989,25.92,2646.44
1990,26.18,2470.52
1991,26.17,2057.55
1992,26.01,1949.32
1993,26.12,2338.44
1994,26.24,2258.06
1995,26.11,2700.05
1996,25.98,2568.29
1997,26.07,2080.62
1998,26.75,2198.21
1999,26.1,3344.17
2000,26.23,3112.97
2001,26.28,2862.34
2002,26.17,2417.42
2003,26.05,2738.8
2004,26.14,2430.44
2005,26.24,2549.97
2006,26.29,2538.15
2007,26.29,2758.08
2008,25.96,3160.46
2009,25.99,2818.23
2010,26.27,2598.36
2011,26.03,3358.83
2012,26.37,2962.25
2013,26.37,2729.13
2014,26.24,2519.66
2015,26.46,2373.26
2016,26.79,2491.47
2017,26.35,3176.99
2018,26.55,2770.4
2019,26.62,2396.16
2020,26.73,2534.15
2021,26.7,2814.66
2022,26.61,3068.66
